id,When,date,,Opp,FG,TRB,AST,STL,BLK,TOV
1,Pre-Bubble,10/23/19,,SAC,49,44,31,13,9,14
2,Pre-Bubble,10/25/19,@,DEN,41.5,49,28,9,5,15.5
3,Pre-Bubble,10/26/19,,LAC,42,49,29.33333333,9,4.333333333,15.66666667
4,Pre-Bubble,10/28/19,,UTA,39.75,46.75,27.75,8.5,4,15.75
5,Pre-Bubble,10/30/19,@,GSW,40.6,46.4,28.8,9.2,4,15.8
6,Pre-Bubble,11/2/19,@,MEM,41.16666667,44,28.33333333,9.166666667,3.666666667,16
7,Pre-Bubble,11/4/19,,PHI,41.14285714,43.42857143,27.71428571,8.714285714,3.857142857,16.42857143
8,Pre-Bubble,11/7/19,,MIA,40.625,43,27,8.125,3.75,16.125
9,Pre-Bubble,11/10/19,,BRK,41.88888889,42.88888889,28.11111111,8.111111111,4.111111111,15.11111111
10,Pre-Bubble,11/12/19,,LAL,42,42.5,28.5,7.6,4.1,14.7
11,Pre-Bubble,11/14/19,,ATL,41.90909091,42.18181818,28.81818182,7.454545455,3.909090909,15.18181818
12,Pre-Bubble,11/18/19,,BOS,41.16666667,42.41666667,28.25,7.416666667,4.083333333,15.5
13,Pre-Bubble,11/19/19,@,SAC,40.92307692,42.15384615,27.92307692,7.692307692,4.076923077,15.07692308
14,Pre-Bubble,11/21/19,,NOP,40.85714286,41.85714286,27.92857143,7.857142857,4,15
15,Pre-Bubble,11/23/19,@,MIN,40.33333333,42.8,27.53333333,7.933333333,3.933333333,14.46666667
16,Pre-Bubble,11/24/19,@,DEN,40.375,42.375,27.375,7.6875,3.8125,14.3125
17,Pre-Bubble,11/27/19,,WAS,40.82352941,42.23529412,27.47058824,7.647058824,3.941176471,14.35294118
18,Pre-Bubble,11/29/19,,DAL,40.83333333,42.5,27.55555556,7.388888889,3.888888889,14.11111111
19,Pre-Bubble,12/2/19,@,CHO,40.73684211,42.21052632,27.68421053,7.631578947,4.052631579,13.73684211
20,Pre-Bubble,12/4/19,@,ORL,40.85,41.55,28.1,7.75,3.85,13.7
21,Pre-Bubble,12/5/19,@,NOP,41.28571429,42,28.19047619,8.142857143,3.952380952,13.9047619
22,Pre-Bubble,12/7/19,@,HOU,41.22727273,42.40909091,28.22727273,7.954545455,3.909090909,13.95454545
23,Pre-Bubble,12/9/19,,MIN,41.47826087,42.39130435,28.34782609,7.826086957,3.956521739,13.73913043
24,Pre-Bubble,12/11/19,,MEM,41.29166667,42.45833333,28.375,7.75,3.958333333,13.66666667
25,Pre-Bubble,12/14/19,,SAS,41.44,43.12,28.4,7.64,4,13.52
26,Pre-Bubble,12/16/19,,POR,41.42307692,43.15384615,28.5,7.769230769,4.038461538,13.76923077
27,Pre-Bubble,12/17/19,@,LAC,41.40740741,43.40740741,28.55555556,7.888888889,4,13.96296296
28,Pre-Bubble,12/20/19,@,OKC,41.28571429,43.17857143,28.46428571,7.928571429,4,14
29,Pre-Bubble,12/21/19,,HOU,41.48275862,43.10344828,28.37931034,7.827586207,3.896551724,13.79310345
30,Pre-Bubble,12/23/19,,DEN,41.5,42.93333333,28.4,7.9,3.766666667,13.9
31,Pre-Bubble,12/27/19,@,GSW,41.29032258,43.12903226,28.19354839,7.838709677,3.677419355,14.29032258
32,Pre-Bubble,12/28/19,@,SAC,41.40625,43.03125,28.25,7.90625,3.625,14.25
33,Pre-Bubble,12/30/19,@,POR,41.48484848,43.06060606,28.27272727,7.848484848,3.636363636,14.09090909
34,Pre-Bubble,1/1/20,@,LAL,41.5,43.17647059,28.38235294,7.823529412,3.617647059,14.08823529
35,Pre-Bubble,1/3/20,,NYK,41.51428571,43.31428571,28.37142857,7.8,3.6,13.97142857
36,Pre-Bubble,1/5/20,,MEM,41.55555556,43.38888889,28.27777778,7.777777778,3.611111111,13.86111111
37,Pre-Bubble,1/7/20,,SAC,41.43243243,43.32432432,28.16216216,7.675675676,3.567567568,13.94594595
38,Pre-Bubble,1/10/20,,ORL,41.21052632,43.34210526,27.92105263,7.736842105,3.684210526,13.94736842
39,Pre-Bubble,1/12/20,,CHO,41.20512821,43.53846154,27.76923077,7.743589744,3.717948718,14.05128205
40,Pre-Bubble,1/14/20,@,ATL,41.175,43.45,27.575,7.775,3.775,13.975
41,Pre-Bubble,1/16/20,@,NYK,41.31707317,43.68292683,27.65853659,7.853658537,3.780487805,14.09756098
42,Pre-Bubble,1/18/20,@,BOS,41.33333333,43.88095238,27.64285714,7.80952381,3.833333333,14.11904762
43,Pre-Bubble,1/20/20,,SAS,41.34883721,43.86046512,27.60465116,7.697674419,3.813953488,14.11627907
44,Pre-Bubble,1/22/20,,IND,41.09090909,43.86363636,27.27272727,7.681818182,3.795454545,14.09090909
45,Pre-Bubble,1/24/20,@,SAS,41.04444444,43.82222222,27.22222222,7.644444444,3.8,14.06666667
46,Pre-Bubble,1/26/20,@,MEM,40.91304348,43.7826087,27.13043478,7.782608696,3.869565217,14.13043478
47,Pre-Bubble,1/28/20,@,DAL,41.12765957,43.68085106,27.27659574,7.829787234,3.872340426,14.06382979
48,Pre-Bubble,1/31/20,,OKC,41.02083333,43.60416667,27.125,7.791666667,3.916666667,14.16666667
49,Pre-Bubble,2/2/20,@,MIL,41.02040816,43.71428571,26.97959184,7.795918367,3.897959184,14.08163265
50,Pre-Bubble,2/3/20,@,BRK,40.98,43.7,26.9,7.78,3.94,14.12
51,Pre-Bubble,2/5/20,@,DET,41,43.56862745,26.94117647,7.705882353,3.960784314,14.1372549
52,Pre-Bubble,2/7/20,,HOU,41.03846154,43.71153846,26.98076923,7.75,4.057692308,14.30769231
53,Pre-Bubble,2/8/20,,DEN,40.98113208,43.66037736,26.94339623,7.735849057,4.056603774,14.28301887
54,Pre-Bubble,2/10/20,@,LAL,40.81481481,43.38888889,26.92592593,7.722222222,4.018518519,14.25925926
55,Pre-Bubble,2/12/20,,GSW,40.83636364,43.32727273,26.89090909,7.836363636,4.018181818,14.25454545
56,Pre-Bubble,2/21/20,@,TOR,40.78571429,43.16071429,26.92857143,7.910714286,4,14.30357143
57,Pre-Bubble,2/22/20,@,CHI,40.73684211,43.22807018,26.9122807,7.947368421,4,14.38596491
58,Pre-Bubble,2/24/20,@,UTA,40.87931034,43.13793103,27.01724138,7.982758621,3.948275862,14.36206897
59,Pre-Bubble,2/26/20,,LAC,40.76271186,43.22033898,27.05084746,7.983050847,3.93220339,14.38983051
60,Pre-Bubble,2/28/20,,DET,40.83333333,43.13333333,27.11666667,8,3.95,14.45
61,Pre-Bubble,2/29/20,,GSW,40.72131148,43.08196721,27.06557377,7.918032787,3.967213115,14.52459016
62,Pre-Bubble,3/3/20,,TOR,40.69354839,42.9516129,27.11290323,7.887096774,4,14.58064516
63,Pre-Bubble,3/6/20,,POR,40.76190476,43.01587302,27.14285714,7.904761905,4,14.53968254
64,Pre-Bubble,3/8/20,,MIL,40.859375,43.078125,27.1875,7.875,4,14.53125
65,Pre-Bubble,3/10/20,@,POR,40.76923077,43.07692308,27.16923077,7.8,4.015384615,14.52307692
66,In-Bubble,7/31/20,@,WAS,42,37,29,10,3,17
67,In-Bubble,8/2/20,,DAL,42,43,25.5,7.5,3.5,14
68,In-Bubble,8/4/20,@,LAC,43,43.33333333,25.33333333,6.666666667,2.333333333,12
69,In-Bubble,8/6/20,,IND,43,45.75,25.75,6.5,2.75,12.75
70,In-Bubble,8/8/20,@,MIA,43.2,47,26,6.2,3,12.4
71,In-Bubble,8/10/20,,OKC,43,48,26.5,7,3.666666667,13.5
72,In-Bubble,8/11/20,@,PHI,43.85714286,47.42857143,26.71428571,6.571428571,3.571428571,12.57142857
73,In-Bubble,8/13/20,,DAL,44.5,47.125,27.625,6.5,3.625,11.625